Date,Open,High,Low,Close,Volume
2018-07-24,472.8,480.21,471.83,480.21,0.954
2018-07-25,480.21,484,479.6,482.4,104.9536
2018-07-26,482.4,482.4,457.02,466.56,864.5554
2018-07-27,466.56,473.65,461.33,463.19,1365.9074
2018-07-28,463.19,471.63,461.85,467.1,1281.565
2018-07-29,467.1,469.67,455.7,456.19,1425.5408
2018-07-30,456.19,456.59,428.27,430.61,428.3523
2018-07-31,430.61,435.11,412.1,422.01,211.0222
2018-08-01,422.01,425.08,407.25,411.71,205.5956
2018-08-02,411.71,415.56,396.94,413.86,200.1039
2018-08-03,413.86,420.06,401.31,403.34,200.484
2018-08-04,403.34,409.43,399.73,405.22,202.908
2018-08-05,405.22,413.34,403.38,405.16,203.1688
2018-08-06,405.16,410.91,400.36,409.07,204.8827
2018-08-07,409.07,409.85,356.69,366.59,208.0767
2018-08-08,366.59,367.97,348.46,362.6,239.1263
2018-08-09,362.6,369.17,355.22,359.18,227.182
2018-08-10,359.18,360.8,304.68,308.34,262.272
2018-08-11,308.34,329.84,304.46,321.69,255.8813
2018-08-12,321.69,325.73,298.31,299.61,210.5648
2018-08-13,299.61,302.61,250.61,261.45,183.0127
2018-08-14,261.45,294.76,253.62,293.42,211.939
2018-08-15,293.42,304.11,277.69,291.27,240.9739
2018-08-16,291.27,303.63,280.72,295.71,323.8254
2018-08-17,295.71,321.55,285.45,290.16,311.5415
2018-08-18,290.16,306.86,282.47,300.13,319.3927
2018-08-19,300.13,303.92,282.51,286.26,325.8387
2018-08-20,286.26,291.56,269.3,275.35,339.5599
2018-08-21,275.35,298.32,271.08,277.5,344.9224
2018-08-22,277.5,277.5,260.45,272.12,302.6194
2018-08-23,272.12,279.92,270.63,271.89,302.0626
2018-08-24,271.89,282.77,271.65,280,350.0345
2018-08-25,280,280.58,269.36,273.49,341.9247
2018-08-26,273.49,278.83,270.99,276.92,265.0704
2018-08-27,276.92,292.01,276.14,288.52,233.1262
2018-08-28,288.52,297.97,285.155,286.41,2.0822
2018-08-29,286.41,292.025,275.06,278.41,2.1273
2018-08-30,278.41,286.175,272.395,278.12,40.9004
2018-08-31,278.12,297.895,277.905,295.925,325.0215
2018-09-01,295.925,301.97,289.655,291.735,1094.646
2018-09-02,291.735,296.78,286.085,289.59,1256.3665
2018-09-03,289.59,293.13,282.86,289.26,1441.634
2018-09-04,289.26,289.93,252.545,256.115,1571.871
2018-09-05,256.115,257.045,211.84,226.61,1875.9009
2018-09-06,226.61,234.52,214.445,215.565,1598.9044
2018-09-07,215.565,220.865,214.535,216.605,1504.5648
2018-09-08,216.605,216.64,185.44,201.615,1849.7046
2018-09-09,201.615,202.915,192.28,194.93,1674.7758
2018-09-10,194.93,199.18,183.32,184.445,1633.4079
2018-09-11,184.445,186.515,167.535,171.59,1792.9594
2018-09-12,171.59,208.005,170.595,202.585,1869.578
2018-09-13,202.585,224.17,201.185,208.23,1982.1791
2018-09-14,208.23,226.87,208.18,224.11,1929.7854
2018-09-15,224.11,227.2,208.01,217.48,1775.8786
2018-09-16,217.48,224.77,203.08,206.19,1813.4414
2018-09-17,206.19,214.6,192.58,211.58,1611.4021
2018-09-18,211.58,214.22,203.18,209.59,1310.5719
2018-09-19,209.59,214.83,198.26,210.53,20384.3592
2018-09-20,210.53,231.73,206.95,226.68,20084.5752
2018-09-21,226.68,253.94,226.66,239.46,9662.1316
2018-09-22,239.46,249.22,237.16,241.69,353.845
2018-09-23,241.69,246.04,230.2,232.9,340.8578
2018-09-24,232.9,237.19,204.01,210.22,867.7249
2018-09-25,210.22,222.68,206.14,220.05,1926.0627
2018-09-26,220.05,221.77,210.23,217.01,1615.2315
2018-09-27,217.01,233.9,217.01,226.11,1826.4789
2018-09-28,226.11,236.99,214.12,232.02,1421.2689
2018-09-29,232.02,238.69,228.92,233.4,1605.7144
2018-09-30,233.4,235.67,225.43,227.86,1788.2403
2018-10-01,227.86,232.18,226.02,227.9,1569.274
2018-10-02,227.9,228.59,216.53,221.6,1703.1641
2018-10-03,221.6,227.13,216.64,224.53,1479.7039
2018-10-04,224.53,225.53,219.76,224.67,1525.9042
2018-10-05,224.67,231.5,222.57,225.33,1432.1725
2018-10-06,225.33,226.4,221.96,223.37,1217.21
2018-10-07,223.37,231.45,222.97,229.47,1395.8479
2018-10-08,229.47,231.84,226.78,228.4,1309.7906
2018-10-09,228.4,229.42,224.46,225.32,1286.1763
2018-10-10,225.32,227.96,196.15,201.1,1661.4199
2018-10-11,201.1,203.94,189.03,199.58,1667.8958
2018-10-12,199.58,202.48,196,201.02,1273.6473
2018-10-13,201.02,203.55,199.87,201.99,1046.802
2018-10-14,201.99,238.95,194.78,216.72,1116.1263
2018-10-15,216.72,219.63,209.31,213.72,3193.8239
2018-10-16,213.72,216.91,210.18,213.82,6679.4114
2018-10-17,213.82,215.5,207.56,210.09,6818.7035
2018-10-18,210.09,210.18,204.15,206.01,6857.3929
2018-10-19,206.01,209.72,203.9,207.74,6536.623
2018-10-20,207.74,211.76,207.39,210.32,6400.2707
2018-10-21,210.32,210.36,205.29,206.07,6646.8945
2018-10-22,206.07,207.75,203,204.01,5167.3617
2018-10-23,204.01,207.71,203.83,205.82,4175.8722
2018-10-24,205.82,206.52,202.97,204.21,4338.1604
2018-10-25,204.21,209.01,203.18,204.36,4062.4534
2018-10-26,204.36,205.83,203.01,203.52,4556.6828
2018-10-27,203.52,205.49,203.15,204.86,14261.2089
2018-10-28,204.86,205.66,195.6,198.43,14898.9314
2018-10-29,198.43,198.46,195.35,197.55,31732.9599
2018-10-30,197.55,201.52,193.39,199.68,42711.487
2018-10-31,199.68,199.68,197.72,198.52,102335.3739
2018-11-01,198.52,203.66,198.42,202.2,96688.3317
2018-11-03,199.92,207.19,199.04,205.79,77161.663
2018-11-04,205.79,218.58,204.98,211.37,80057.6447
2018-11-05,211.37,218.27,207.72,217.31,79493.2635
2018-11-06,217.31,224.76,214.76,218.21,78629.2671
2018-11-07,218.21,220.8,214,215.17,86530.7707
2018-11-08,215.17,215.85,209.56,211.09,108503.8064
2018-11-09,211.09,214.9,209.16,213.99,112461.5208
2018-11-10,213.99,215.52,209.93,210.58,99222.8313
2018-11-11,210.58,214.15,209.13,213.26,98368.5514
2018-11-12,213.26,213.39,209.79,212.2,98626.7022
2018-11-13,212.2,213.43,190.85,191.6,88716.5724
2018-11-14,191.6,194.27,171.24,181.03,54602.5793
2018-11-15,181.03,184.98,176.83,178.84,35350.7981
2018-11-16,178.84,180.59,173.5,174.56,54819.1583
2018-11-17,174.56,179.43,174.56,177.45,64874.7654
2018-11-18,177.45,182.75,153.78,157.16,60882.4041
2018-11-19,157.16,157.79,126.91,148.91,65076.401
2018-11-20,148.91,150.15,127.23,137.83,60730.8986
2018-11-21,137.83,140.26,130.31,133.4,74451.2094
2018-11-22,133.4,134.02,119.94,124.1,94539.7002
2018-11-23,124.1,130.23,120.42,124.16,121725.2209
2018-11-24,124.16,124.16,103.06,112.13,117016.3868
2018-11-25,112.13,121.99,108.68,111.09,90771.9207
2018-11-26,111.09,114.04,102.84,106.39,89049.4267
2018-11-27,106.39,121.61,105.73,120.27,160459.1137
2018-11-28,120.27,126.66,116.13,118.02,196127.1903
2018-11-29,118.02,121.15,112.19,113.83,164933.0329
2018-11-30,113.83,120.32,111.5,118.98,94929.6681
2018-12-01,118.98,120.65,116.17,117.7,91659.4188
2018-12-02,117.7,118.51,107.44,108.13,96030.3438
2018-12-03,108.13,113.13,106.17,112.23,91135.1531
2018-12-04,112.23,112.26,106.55,107.21,225429.3504
2018-12-05,107.21,107.21,96.14,98.31,270688.0047
2018-12-06,98.31,98.67,82.66,85.18,320171.6592
2018-12-07,85.18,97.88,82.31,88.25,318883.1144
2018-12-08,88.25,96.51,84.71,95.54,232572.7046
2018-12-09,95.54,98.58,88.63,89.13,226107.6747
2018-12-10,89.13,91.64,86.44,86.7,231326.608
2018-12-11,86.7,91.05,86,90.4,206060.776
2018-12-12,90.4,91.18,87.9,90.51,165279.9349
2018-12-13,90.51,90.68,84.83,85.53,194880.5624
