Date,Open,High,Low,Close,Volume
2021-06-21,26.145,26.456,20.184,25.621,9311.5103
2021-06-22,25.632,32.864,25.474,29.099,25761.61
2021-06-23,29.066,31.62,28.288,30.776,20107.1
2021-06-24,30.747,32.992,28.628,29.085,25363.32
2021-06-25,29.044,30.061,26.673,28.456,24181.4
2021-06-26,28.436,31.137,27.431,30.144,23828.59
2021-06-27,30.188,34.093,29.596,34.093,14881.89
2021-06-28,33.966,35.812,32.582,35.24,6351.18
2021-06-29,35.234,35.705,31.591,31.777,3963.4
2021-06-30,31.929,35.959,31.661,33.466,3622.31
2021-07-01,33.454,34.312,31.427,32.976,2605.13
2021-07-02,33.03,35.394,32.596,34.853,3039.89
2021-07-03,34.832,35.521,33.527,34.84,2686.24
2021-07-04,34.906,35.354,32.628,32.791,4655.32
2021-07-05,32.759,35.011,32.479,33.795,3623.27
2021-07-06,33.829,37.602,33.213,36.217,3061.78
2021-07-07,36.214,38.072,33.78,34.417,3501.18
2021-07-08,34.389,34.432,31.963,33.91,2595.6
2021-07-09,33.95,34.225,32.173,32.329,2595.36
2021-07-10,32.314,32.827,31.074,32.413,3926.54
2021-07-11,32.342,32.672,31.061,31.129,2542
2021-07-12,31.07,31.191,29.136,30.277,2149.03
2021-07-13,30.215,31.17,27.457,30.504,2031.96
2021-07-14,30.63,31.524,28.77,28.864,1879.41
2021-07-15,28.757,29.49,27.016,28.355,2999.32
2021-07-16,28.344,28.344,25.987,26.5,4128.72
2021-07-17,26.545,27.78,26.275,26.627,2019.87
2021-07-18,26.541,27.233,23.996,24.152,2546.91
2021-07-19,24.171,24.994,22.138,23.732,3716.79
2021-07-20,23.832,27.096,22.853,26.974,1940.04
2021-07-21,26.985,27.798,25.301,27.778,2094.74
2021-07-22,27.78,28.7,26.785,26.883,2500.04
2021-07-23,26.893,29.427,26.389,28.356,3443.8
2021-07-24,28.431,29.484,26.521,27.375,4258.4
2021-07-25,27.263,31.083,26.965,30.142,3311.28
2021-07-26,30.07,30.898,27.14,27.756,2560.57
2021-07-27,27.695,28.782,26.888,28.291,2368.49
2021-07-28,28.319,29.72,27.31,29.552,2639.45
2021-07-29,29.593,33.051,29.591,30.952,2623.76
2021-07-30,30.986,34.995,30.409,34.233,4054.99
2021-07-31,34.285,36.915,33.604,35.424,4137.26
2021-08-01,35.508,36.266,33.281,33.835,2878.93
2021-08-02,33.863,35.838,32.394,34.959,4755.84
2021-08-04,35.33,38.271,35.324,36.693,7528.68
2021-08-05,36.67,39.661,35.642,39.598,4725.54
2021-08-06,39.699,40.526,38.345,38.559,4418.55
2021-08-07,38.459,39.613,37.317,37.751,5534.05
2021-08-08,37.723,39.963,36.351,39.902,11256.44
2021-08-09,39.908,41.706,37.953,40.153,7982.58
2021-08-10,40.076,43.458,39.131,42.575,5679.89
2021-08-11,42.615,43.763,39.347,39.858,4394.26
2021-08-12,39.805,44.63,39.337,43.662,5623.07
2021-08-13,43.657,44.964,42.745,44.072,5245.86
2021-08-14,44.03,48.867,42.998,48.688,6985.19
2021-08-15,48.682,68.88,47.865,67.04,6873.9
2021-08-16,67.005,75.012,61.284,69.733,4293.94
2021-08-17,69.815,80.433,59.019,77.254,7060.32
2021-08-18,77.29,78.708,68.453,73.501,7511.65
2021-08-19,73.585,74.795,70.623,73.324,3705.75
2021-08-20,73.342,81.899,72.888,75.424,4630.48
2021-08-21,75.357,77.554,72.568,74.575,5852.73
2021-08-22,74.473,75.829,71.281,72.038,5793.64
2021-08-23,71.96,79.37,71.668,71.902,8057.1097
2021-08-24,71.91,72.82,66.083,71.314,18109.92
2021-08-25,71.305,78.188,66.208,74.748,20539.34
2021-08-26,74.768,84.032,72.593,82.414,24087.64
2021-08-27,82.489,95.048,81.772,94.608,27175.74
2021-08-28,94.737,97.875,90.507,92.292,23409.44
2021-08-29,92.102,106.828,91.117,105.685,22316.39
2021-08-30,105.734,129.966,104.493,116.413,19325.07
2021-08-31,116.391,119.653,103.152,117.218,19483.18
2021-09-01,117.291,123.449,109.312,121.867,23582.77
2021-09-02,121.872,146.233,119.733,140.028,15969.38
2021-09-03,140.009,150.621,138.441,142.266,17021.41
2021-09-04,142.372,144.983,134.893,136.225,16689.7
2021-09-05,136.292,151.627,135.256,151.457,10644.78
2021-09-06,151.457,195.307,135.841,168.619,10594.46
2021-09-07,168.619,189.894,146.684,165.971,13236.05
2021-09-08,165.971,215.544,164.117,201.145,16073.78
2021-09-09,201.145,202.74,168.331,179.528,12426.01
2021-09-10,179.528,193.346,170.523,188.401,13254.31
2021-09-11,188.401,189.951,172.999,178.872,18133.9
2021-09-12,178.872,180.024,150.455,156.988,18556.51
2021-09-13,156.988,174.929,154.402,159.116,21653.45
2021-09-14,159.116,166.343,142.744,161.965,16743.81
2021-09-15,161.965,164.733,152.54,154.831,22772.1
2021-09-16,154.831,159.556,134.356,144.669,24787.4
2021-09-17,144.669,164.615,138.58,163.451,23739.75
2021-09-18,163.451,171.429,155.096,159.295,21211.23
2021-09-19,159.295,160.285,130.344,144.45,14591.97
2021-09-20,144.45,146.041,125.117,138.492,18072.35
2021-09-21,138.492,142.153,115.924,141.584,15456.91
2021-09-22,141.584,152.34,140.233,146.132,20440.38
2021-09-23,146.132,152.043,128.146,137.834,16951.52
2021-09-24,137.834,144.112,135.574,138.77,11813.17
2021-09-25,138.77,140.311,124.715,139.903,13089.23
2021-09-26,139.903,148.947,133.513,145.302,14616.22
2021-09-27,145.302,145.494,130.451,130.451,18256.84
2021-09-28,130.451,140.101,128.085,135.527,21435.56
2021-09-29,135.527,141.302,131.207,138.244,15696.76
2021-09-30,138.244,159.073,136.199,157.353,11156.32
2021-10-01,157.353,170.686,155.482,170.6,13101.27
2021-10-02,170.6,177.637,165.685,172.559,15044.13
2021-10-03,172.559,176.988,162.524,166.471,7573.7
2021-10-04,166.471,172.244,162.091,162.291,19053.53
2021-10-05,162.291,167.053,150.195,160.836,22134.84
2021-10-06,160.836,161.701,150.394,155.964,13521.67
2021-10-07,155.964,168.901,152.419,166.491,19340.74
2021-10-08,166.491,167.992,156.083,157.961,23812.97
2021-10-09,157.961,158.508,152.492,154.504,23905.81
2021-10-10,154.504,154.731,145.422,147.763,23514.75
2021-10-11,147.763,148.114,137.64,143.489,25225.99
2021-10-12,143.489,155.543,142.869,146.237,29964.27
2021-10-13,146.237,155.704,144.518,152.837,22172.94
2021-10-14,152.837,165.321,146.89,159.276,23067.84
2021-10-15,159.276,164.782,157.549,159.592,22350.33
2021-10-16,159.592,167.565,156.463,160.785,14603.22
2021-10-17,160.785,162.94,153.365,156.913,15353.26
2021-10-18,156.913,159.514,154.912,155.564,11403.42
2021-10-19,155.564,169.953,153.124,168.795,11775.25
2021-10-20,168.795,194.067,166.84,182.714,15837.29
2021-10-21,182.714,215.081,180.537,206.504,15964.3
2021-10-22,206.504,211.005,192.141,199.083,16805.16
2021-10-23,199.083,201.669,185.488,186.646,14477.94
2021-10-24,186.646,218.836,185.269,218.652,14777.72
2021-10-25,218.652,218.656,202.467,206.812,24036.49
2021-10-26,206.812,209.604,177.865,189.074,22460.02
2021-10-27,189.074,201.326,181.268,196.905,17651.92
2021-10-28,196.905,205.139,191.581,201.884,16913.38
2021-10-29,201.884,204.912,190.318,193.246,21463.48
2021-10-30,193.246,201.796,185.449,195.084,19692.39
2021-10-31,195.084,211.601,193.114,203.277,20268.14
2021-11-01,203.277,208.97,198.923,208.884,14335.4821
2021-11-02,208.884,235.037,206.416,225.188,14754.492
