Date,Time (UTC),Exchange,Symbol,Side,Quantity,Price,Total USD,Fee (est.),Net Amount,Order ID,Mode,Notes
2026-08-19,13:29:41,BitGet,SOLUSDT,BUY,12.735609,78.52,1000.0000186799999,0.8000,999.20,PAPER-1787146181079,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $999.20"
2026-08-19,14:51:38,BitGet,SOLUSDT,SELL,8.9149263,79.42,708.023446746,0.5664,707.46,PAPER-1787151098869,PAPER,"Scale-out 70% @ 1R — P&L $8.02 | Portfolio: $1006.66"
2026-08-19,21:48:46,BitGet,SOLUSDT,BUY,5.809424139529428,86.64,503.3285074488296,0.4027,502.93,PAPER-1787176126295,PAPER,"Pyramid #1 add | Portfolio: $1006.25"
2026-08-20,13:58:03,BitGet,SOLUSDT,SELL,9.630106839529429,86.67,803.3285130528296,0.6427,802.69,PAPER-STOP,PAPER,"Trailing stop hit — P&L $39.34 total (4.90%) | Portfolio: $1036.90"
2026-08-20,13:58:03,BitGet,SOLUSDT,BUY,11.966526,86.65,1036.8994779,0.8295,1036.07,PAPER-1787234283615,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1036.07"
2026-08-20,15:57:51,BitGet,SOLUSDT,SELL,8.3765682,87.42,732.279592044,0.5858,731.69,PAPER-1787241471646,PAPER,"Scale-out 70% @ 1R — P&L $6.45 | Portfolio: $1041.93"
2026-08-21,11:50:21,BitGet,SOLUSDT,SELL,3.5899578000000005,90.67,311.06984337000006,0.2489,310.82,PAPER-STOP,PAPER,"Trailing stop hit — P&L $20.88 total (6.71%) | Portfolio: $1056.10"
2026-08-21,11:50:21,BitGet,SOLUSDT,BUY,11.709726,90.19,1056.10018794,0.8449,1055.26,PAPER-1787313021301,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1055.26"
2026-08-21,15:02:08,BitGet,SOLUSDT,SELL,8.1968082,91.87,753.040769334,0.6024,752.44,PAPER-1787324528655,PAPER,"Scale-out 70% @ 1R — P&L $13.77 | Portfolio: $1068.42"
2026-08-22,05:29:49,BitGet,SOLUSDT,SELL,3.5129178000000003,94.97,316.830056382,0.2535,316.58,PAPER-STOP,PAPER,"Trailing stop hit — P&L $30.55 total (9.64%) | Portfolio: $1084.93"
2026-08-22,05:29:49,BitGet,SOLUSDT,BUY,11.528353,94.11,1084.93330083,0.8679,1084.07,PAPER-1787376589690,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1084.07"
2026-08-22,21:44:17,BitGet,SOLUSDT,SELL,11.528353,93.45,1084.93330083,0.8679,1084.07,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-7.59 total (-0.70%) | Portfolio: $1075.61"
2026-08-25,02:52:53,BitGet,SOLUSDT,BUY,10.663342,100.87,1075.61130754,0.8605,1074.75,PAPER-1787626373310,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $1074.75"
2026-08-25,10:48:29,BitGet,SOLUSDT,SELL,10.663342,99.64,1075.61130754,0.8605,1074.75,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-13.10 total (-1.22%) | Portfolio: $1060.80"
2026-09-20,18:56:20,BitGet,SOLUSDT,BUY,9.688557,109.49,1060.80010593,0.8486,1059.95,PAPER-1789930580149,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $1059.95"
2026-09-20,23:13:58,BitGet,SOLUSDT,SELL,6.781989899999999,110.73,750.969741627,0.6008,750.37,PAPER-1789946038745,PAPER,"Scale-out 70% @ 1R — P&L $8.41 | Portfolio: $1067.76"
2026-09-22,05:43:21,BitGet,SOLUSDT,SELL,2.9065671,117.64,318.240031779,0.2546,317.99,PAPER-STOP,PAPER,"Trailing stop hit — P&L $32.09 total (10.08%) | Portfolio: $1091.17"
2026-09-22,05:43:21,BitGet,SOLUSDT,BUY,9.361455,116.56,1091.1711948,0.8729,1090.30,PAPER-1790055801763,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1090.30"
2026-09-22,18:52:13,BitGet,SOLUSDT,SELL,6.553018499999999,118.07,773.7148942949999,0.6190,773.10,PAPER-1790103133219,PAPER,"Scale-out 70% @ 1R — P&L $9.90 | Portfolio: $1099.57"
2026-09-23,13:37:36,BitGet,SOLUSDT,SELL,2.8084365,117.11,327.35135844,0.2619,327.09,PAPER-STOP,PAPER,"Trailing stop hit — P&L $11.43 total (3.49%) | Portfolio: $1100.84"
2026-09-23,13:37:36,BitGet,SOLUSDT,BUY,9.427454,116.77,1100.8438035799998,0.8807,1099.96,PAPER-1790170656544,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1099.96"
2026-09-23,17:57:49,BitGet,SOLUSDT,SELL,9.427454,116.22,1100.8438035799998,0.8807,1099.96,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-5.20 total (-0.47%) | Portfolio: $1093.89"
2026-09-23,17:57:49,BitGet,SOLUSDT,BUY,9.556111,114.47,1093.8880261699999,0.8751,1093.01,PAPER-1790186269648,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1093.01"
2026-09-24,12:16:45,BitGet,SOLUSDT,SELL,9.556111,113.95,1093.8880261699999,0.8751,1093.01,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-4.98 total (-0.45%) | Portfolio: $1087.17"
2026-09-24,12:16:45,BitGet,SOLUSDT,BUY,9.576022,113.53,1087.16577766,0.8697,1086.30,PAPER-1790252205039,PAPER,"NKB Re-entry after stop (ADX strong) | Portfolio: $1086.30"
2026-09-24,17:25:09,BitGet,SOLUSDT,SELL,6.7032153999999995,116.82,783.0696230279999,0.6265,782.44,PAPER-1790270709839,PAPER,"Scale-out 70% @ 1R — P&L $22.05 | Portfolio: $1107.72"
2026-09-25,06:38:58,BitGet,SOLUSDT,SELL,2.8728066000000005,116.25,326.14973329800006,0.2609,325.89,PAPER-STOP,PAPER,"Trailing stop hit — P&L $29.87 total (9.16%) | Portfolio: $1115.27"
