Date,Time (UTC),Exchange,Symbol,Side,Quantity,Price,Total USD,Fee (est.),Net Amount,Order ID,Mode,Notes
2026-07-02,12:28:08,BitGet,SOLUSDT,BUY,1368.523949,81.83,111986.31474666999,111.9863,111874.33,PAPER-1782995288368,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $99910.41"
2026-07-02,14:38:12,BitGet,SOLUSDT,SELL,1368.523949,81.10,111986.31474666999,111.9863,111874.33,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-1000.00 (-0.89%) | Portfolio: $98821.62"
2026-07-02,21:58:19,BitGet,SOLUSDT,BUY,2448.200716,80.73,197643.24380268,197.6432,197445.60,PAPER-1783029499746,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $98663.51"
2026-07-04,06:30:32,BitGet,SOLUSDT,SELL,2448.200716,82.93,197643.24380268,158.1146,197485.13,PAPER-STOP,PAPER,"Trailing stop hit — P&L $5380.80 (2.72%) | Portfolio: $103881.88"
2026-07-04,12:39:28,BitGet,SOLUSDT,BUY,2550.813591,81.45,207763.76698695,166.2110,207597.56,PAPER-1783168768947,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $103715.67"
2026-07-04,23:15:30,BitGet,SOLUSDT,SELL,2550.813591,81.71,207763.76698695,166.2110,207597.56,PAPER-STOP,PAPER,"Trailing stop hit — P&L $663.21 (0.32%) | Portfolio: $104212.14"
2026-07-05,22:28:26,BitGet,SOLUSDT,BUY,2535.575242,82.20,208424.2848924,62.5273,208361.76,PAPER-1783290506232,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $104149.62"
2026-07-05,22:45:32,BitGet,SOLUSDT,SELL,2535.575242,81.89,208424.2848924,62.5273,208361.76,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-782.41 (-0.38%) | Portfolio: $103304.92"
2026-07-07,01:13:17,BitGet,SOLUSDT,BUY,2515.643894,82.13,206609.83301421997,61.9829,206547.85,PAPER-1783386797058,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $103242.93"
2026-07-07,02:30:29,BitGet,SOLUSDT,SELL,2515.643894,81.84,206609.83301421997,61.9829,206547.85,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-716.96 (-0.35%) | Portfolio: $102464.21"
2026-07-09,11:50:35,BitGet,SOLUSDT,BUY,2644.920165,77.48,204928.4143842,61.4785,204866.94,PAPER-1783597835136,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $102402.73"
2026-07-10,13:00:31,BitGet,SOLUSDT,SELL,2644.920165,78.99,204928.4143842,61.4785,204866.94,PAPER-STOP,PAPER,"Trailing stop hit — P&L $3988.16 (1.95%) | Portfolio: $106225.08"
2026-07-11,15:13:03,BitGet,SOLUSDT,BUY,2701.896904,78.63,212450.15356152,63.7350,212386.42,PAPER-1783782783340,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $106161.34"
2026-07-11,15:45:30,BitGet,SOLUSDT,SELL,2701.896904,78.46,212450.15356152,63.7350,212386.42,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-463.18 (-0.22%) | Portfolio: $105634.56"
2026-07-11,16:10:00,BitGet,SOLUSDT,BUY,2702.688073,78.17,211269.12666640998,63.3807,211205.75,PAPER-1783786200500,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $105571.18"
2026-07-11,16:45:30,BitGet,SOLUSDT,SELL,2702.688073,77.92,211269.12666640998,63.3807,211205.75,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-683.39 (-0.32%) | Portfolio: $104824.61"
2026-07-12,15:13:04,BitGet,SOLUSDT,BUY,2705.500397,77.49,209649.22576352998,62.8948,209586.33,PAPER-1783869184027,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $104761.72"
2026-07-12,21:30:30,BitGet,SOLUSDT,SELL,2705.500397,77.28,209649.22576352998,62.8948,209586.33,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-579.75 (-0.28%) | Portfolio: $104119.25"
2026-07-14,06:15:30,BitGet,SOLUSDT,SELL,2287.581699,75.28,172209.15030071998,51.6627,172157.49,PAPER-1784009730389,PAPER,"NKB NKB Sell — bands flipped bearish | Portfolio: $104067.58"
2026-07-14,11:30:29,BitGet,SOLUSDT,BUY,2287.581699,75.48,172209.15030071998,51.6627,172157.49,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-459.15 (-0.27%) | Portfolio: $103556.63"
2026-07-17,01:09:46,BitGet,SOLUSDT,SELL,2071.005917,75.69,156754.43785773,47.0263,156707.41,PAPER-1784250586502,PAPER,"NKB NKB Sell — bands flipped bearish | Portfolio: $103509.61"
2026-07-17,14:00:30,BitGet,SOLUSDT,BUY,2071.005917,74.24,156754.43785773,47.0263,156707.41,PAPER-STOP,PAPER,"Trailing stop hit — P&L $3001.48 (1.91%) | Portfolio: $106464.96"
2026-07-17,14:51:45,BitGet,SOLUSDT,SELL,1353.965184,74.28,100572.53386751999,30.1718,100542.36,PAPER-1784299905733,PAPER,"NKB NKB Sell — bands flipped bearish | Portfolio: $106434.79"
2026-07-17,16:00:36,BitGet,SOLUSDT,BUY,1353.965184,74.65,100572.53386751999,30.1718,100542.36,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-500.00 (-0.50%) | Portfolio: $105904.47"
2026-07-24,01:05:46,BitGet,SOLUSDT,SELL,2787.693266,75.98,211808.93435068004,63.5427,211745.39,PAPER-1784855146254,PAPER,"NKB NKB Sell — bands flipped bearish | Portfolio: $105840.92"
